Date,Time,Tide Height(m)
25/03/2019,06:38:00,0.8
25/03/2019,12:29:00,2.2
25/03/2019,19:34:00,0.6
26/03/2019,02:04:00,1.7
26/03/2019,07:04:00,1.0
26/03/2019,13:04:00,2.1
26/03/2019,20:35:00,0.7
27/03/2019,03:18:00,1.5
27/03/2019,07:29:00,1.2
27/03/2019,13:43:00,2.1
27/03/2019,21:46:00,0.7
28/03/2019,05:16:00,1.3
28/03/2019,07:49:00,1.3
28/03/2019,14:34:00,2.0
28/03/2019,23:15:00,0.7
29/03/2019,15:49:00,1.9
30/03/2019,00:50:00,0.7
30/03/2019,09:03:00,1.5
30/03/2019,11:19:00,1.5
30/03/2019,17:25:00,1.9
31/03/2019,01:49:00,0.6
31/03/2019,09:16:00,1.6
31/03/2019,12:56:00,1.4
31/03/2019,18:40:00,1.9
01/04/2019,02:30:00,0.5
01/04/2019,09:27:00,1.6
01/04/2019,13:50:00,1.2
01/04/2019,19:33:00,2.0
02/04/2019,03:03:00,0.5
02/04/2019,09:39:00,1.7
02/04/2019,14:32:00,1.1
02/04/2019,20:18:00,2.1
03/04/2019,03:33:00,0.5
03/04/2019,09:53:00,1.7
03/04/2019,15:11:00,0.9
03/04/2019,21:00:00,2.1
04/04/2019,03:59:00,0.5
04/04/2019,10:06:00,1.8
04/04/2019,15:47:00,0.8
04/04/2019,21:40:00,2.1
05/04/2019,04:20:00,0.6
05/04/2019,10:20:00,1.9
05/04/2019,16:23:00,0.7
05/04/2019,22:20:00,2.1
06/04/2019,04:40:00,0.7
06/04/2019,10:36:00,2.0
06/04/2019,16:59:00,0.6
06/04/2019,23:01:00,2.0
07/04/2019,05:02:00,0.7
07/04/2019,10:57:00,2.1
07/04/2019,17:37:00,0.5
07/04/2019,23:43:00,2.0
08/04/2019,05:27:00,0.8
08/04/2019,11:20:00,2.2
08/04/2019,18:19:00,0.5
09/04/2019,00:28:00,1.8
09/04/2019,05:54:00,0.9
09/04/2019,11:45:00,2.2
09/04/2019,19:06:00,0.5
10/04/2019,01:22:00,1.7
10/04/2019,06:21:00,1.0
10/04/2019,12:14:00,2.2
10/04/2019,20:03:00,0.5
11/04/2019,02:32:00,1.5
11/04/2019,06:49:00,1.2
11/04/2019,12:50:00,2.2
11/04/2019,21:09:00,0.5
12/04/2019,04:00:00,1.4
12/04/2019,07:19:00,1.3
12/04/2019,13:38:00,2.2
12/04/2019,22:23:00,0.5
13/04/2019,14:51:00,2.1
13/04/2019,23:40:00,0.5
14/04/2019,07:47:00,1.5
14/04/2019,10:33:00,1.5
14/04/2019,16:54:00,2.1
15/04/2019,00:50:00,0.4
15/04/2019,08:18:00,1.6
15/04/2019,12:20:00,1.4
15/04/2019,18:25:00,2.1
16/04/2019,01:47:00,0.3
16/04/2019,08:44:00,1.8
16/04/2019,13:30:00,1.1
16/04/2019,19:34:00,2.2
17/04/2019,02:35:00,0.3
17/04/2019,09:07:00,1.9
17/04/2019,14:28:00,0.9
17/04/2019,20:33:00,2.2
18/04/2019,03:17:00,0.4
18/04/2019,09:28:00,2.0
18/04/2019,15:20:00,0.7
18/04/2019,21:30:00,2.2
19/04/2019,03:54:00,0.4
19/04/2019,09:51:00,2.1
19/04/2019,16:10:00,0.5
19/04/2019,22:26:00,2.2
20/04/2019,04:28:00,0.6
20/04/2019,10:17:00,2.3
20/04/2019,16:59:00,0.4
20/04/2019,23:23:00,2.0
21/04/2019,04:58:00,0.7
21/04/2019,10:46:00,2.4
21/04/2019,17:47:00,0.4
22/04/2019,00:18:00,1.9
22/04/2019,05:26:00,0.9
22/04/2019,11:17:00,2.4
22/04/2019,18:35:00,0.4
23/04/2019,01:11:00,1.7
23/04/2019,05:53:00,1.0
23/04/2019,11:50:00,2.4
23/04/2019,19:25:00,0.4
24/04/2019,02:07:00,1.6
24/04/2019,06:20:00,1.2
24/04/2019,12:24:00,2.3
24/04/2019,20:19:00,0.5
25/04/2019,03:14:00,1.5
25/04/2019,06:46:00,1.3
25/04/2019,13:01:00,2.2
25/04/2019,21:18:00,0.6
26/04/2019,13:48:00,2.1
26/04/2019,22:25:00,0.6
27/04/2019,14:55:00,1.9
27/04/2019,23:40:00,0.6
28/04/2019,08:20:00,1.6
28/04/2019,10:55:00,1.5
28/04/2019,16:21:00,1.9
29/04/2019,00:42:00,0.6
29/04/2019,08:29:00,1.7
29/04/2019,12:37:00,1.4
29/04/2019,17:48:00,1.8
30/04/2019,01:28:00,0.6
30/04/2019,08:36:00,1.7
30/04/2019,13:33:00,1.2
30/04/2019,18:57:00,1.8
01/05/2019,02:05:00,0.6
01/05/2019,08:48:00,1.8
01/05/2019,14:18:00,1.0
01/05/2019,19:51:00,1.9
02/05/2019,02:36:00,0.7
02/05/2019,09:03:00,1.9
02/05/2019,14:57:00,0.9
02/05/2019,20:39:00,1.9
03/05/2019,03:01:00,0.7
03/05/2019,09:17:00,2.0
03/05/2019,15:35:00,0.7
03/05/2019,21:25:00,1.9
04/05/2019,03:25:00,0.8
04/05/2019,09:33:00,2.1
04/05/2019,16:13:00,0.5
04/05/2019,22:11:00,1.9
05/05/2019,03:51:00,0.8
05/05/2019,09:54:00,2.3
05/05/2019,16:51:00,0.4
05/05/2019,22:58:00,1.9
06/05/2019,04:19:00,0.9
06/05/2019,10:19:00,2.4
06/05/2019,17:32:00,0.3
06/05/2019,23:47:00,1.8
07/05/2019,04:49:00,1.0
07/05/2019,10:47:00,2.4
07/05/2019,18:16:00,0.3
08/05/2019,00:42:00,1.7
08/05/2019,05:20:00,1.0
08/05/2019,11:18:00,2.5
08/05/2019,19:06:00,0.3
09/05/2019,01:42:00,1.6
09/05/2019,05:53:00,1.2
09/05/2019,11:53:00,2.4
09/05/2019,20:02:00,0.3
10/05/2019,02:48:00,1.5
10/05/2019,06:29:00,1.3
10/05/2019,12:35:00,2.4
10/05/2019,21:03:00,0.3
11/05/2019,04:05:00,1.5
11/05/2019,07:14:00,1.4
11/05/2019,13:30:00,2.3
11/05/2019,22:07:00,0.4
12/05/2019,05:57:00,1.5
12/05/2019,08:33:00,1.5
12/05/2019,14:50:00,2.1
12/05/2019,23:12:00,0.4
13/05/2019,06:59:00,1.6
13/05/2019,10:51:00,1.4
13/05/2019,16:49:00,2.0
14/05/2019,00:14:00,0.4
14/05/2019,07:34:00,1.8
14/05/2019,12:18:00,1.3
14/05/2019,18:17:00,2.0
15/05/2019,01:08:00,0.4
15/05/2019,08:00:00,1.9
15/05/2019,13:26:00,1.0
15/05/2019,19:27:00,2.0
16/05/2019,01:54:00,0.5
16/05/2019,08:22:00,2.0
16/05/2019,14:25:00,0.8
16/05/2019,20:30:00,2.0
17/05/2019,02:35:00,0.6
17/05/2019,08:45:00,2.2
17/05/2019,15:19:00,0.6
17/05/2019,21:32:00,1.9
18/05/2019,03:12:00,0.7
18/05/2019,09:10:00,2.3
18/05/2019,16:10:00,0.4
18/05/2019,22:33:00,1.8
19/05/2019,03:45:00,0.8
19/05/2019,09:40:00,2.5
19/05/2019,16:58:00,0.3
19/05/2019,23:29:00,1.8
20/05/2019,04:16:00,0.9
20/05/2019,10:12:00,2.5
20/05/2019,17:45:00,0.3
21/05/2019,00:19:00,1.7
21/05/2019,04:46:00,1.0
21/05/2019,10:45:00,2.5
21/05/2019,18:30:00,0.3
22/05/2019,01:07:00,1.6
22/05/2019,05:16:00,1.1
22/05/2019,11:20:00,2.5
22/05/2019,19:15:00,0.3
23/05/2019,01:57:00,1.5
23/05/2019,05:47:00,1.2
23/05/2019,11:55:00,2.4
23/05/2019,20:01:00,0.4
24/05/2019,02:54:00,1.5
24/05/2019,06:18:00,1.3
24/05/2019,12:33:00,2.3
24/05/2019,20:48:00,0.5
25/05/2019,04:08:00,1.4
25/05/2019,06:54:00,1.4
25/05/2019,13:16:00,2.1
25/05/2019,21:38:00,0.5
26/05/2019,06:15:00,1.5
26/05/2019,08:07:00,1.5
26/05/2019,14:12:00,2.0
26/05/2019,22:31:00,0.6
27/05/2019,06:54:00,1.6
27/05/2019,10:12:00,1.5
27/05/2019,15:28:00,1.8
27/05/2019,23:26:00,0.7
28/05/2019,07:15:00,1.7
28/05/2019,11:54:00,1.4
28/05/2019,16:46:00,1.7
29/05/2019,00:15:00,0.7
29/05/2019,07:36:00,1.8
29/05/2019,13:03:00,1.2
29/05/2019,18:06:00,1.7
30/05/2019,00:55:00,0.7
30/05/2019,07:55:00,1.9
30/05/2019,13:54:00,1.0
30/05/2019,19:18:00,1.7
31/05/2019,01:30:00,0.8
31/05/2019,08:11:00,2.0
31/05/2019,14:38:00,0.8
31/05/2019,20:17:00,1.7
01/06/2019,02:02:00,0.8
01/06/2019,08:27:00,2.2
01/06/2019,15:20:00,0.6
01/06/2019,21:11:00,1.7
02/06/2019,02:34:00,0.9
02/06/2019,08:49:00,2.3
02/06/2019,16:01:00,0.4
02/06/2019,22:04:00,1.7
03/06/2019,03:07:00,0.9
03/06/2019,09:17:00,2.4
03/06/2019,16:43:00,0.3
03/06/2019,22:58:00,1.7
04/06/2019,03:42:00,1.0
04/06/2019,09:49:00,2.5
04/06/2019,17:28:00,0.2
04/06/2019,23:54:00,1.6
05/06/2019,04:18:00,1.0
05/06/2019,10:24:00,2.6
05/06/2019,18:15:00,0.1
06/06/2019,00:48:00,1.6
06/06/2019,04:56:00,1.1
06/06/2019,11:03:00,2.6
06/06/2019,19:05:00,0.1
07/06/2019,01:43:00,1.6
07/06/2019,05:38:00,1.2
07/06/2019,11:47:00,2.6
07/06/2019,19:57:00,0.1
08/06/2019,02:40:00,1.5
08/06/2019,06:26:00,1.3
08/06/2019,12:36:00,2.4
08/06/2019,20:50:00,0.2
09/06/2019,03:42:00,1.6
09/06/2019,07:26:00,1.3
09/06/2019,13:36:00,2.3
09/06/2019,21:45:00,0.3
10/06/2019,04:51:00,1.6
10/06/2019,09:00:00,1.4
10/06/2019,15:00:00,2.1
10/06/2019,22:40:00,0.4
11/06/2019,05:55:00,1.7
11/06/2019,10:44:00,1.3
11/06/2019,16:42:00,1.9
11/06/2019,23:35:00,0.5
12/06/2019,06:39:00,1.9
12/06/2019,12:07:00,1.1
12/06/2019,18:09:00,1.8
13/06/2019,00:26:00,0.6
13/06/2019,07:12:00,2.0
13/06/2019,13:20:00,0.9
13/06/2019,19:25:00,1.7
14/06/2019,01:13:00,0.7
14/06/2019,07:39:00,2.2
14/06/2019,14:23:00,0.7
14/06/2019,20:39:00,1.7
15/06/2019,01:54:00,0.8
15/06/2019,08:07:00,2.3
15/06/2019,15:19:00,0.5
15/06/2019,21:47:00,1.6
16/06/2019,02:32:00,0.9
16/06/2019,08:37:00,2.4
16/06/2019,16:09:00,0.3
16/06/2019,22:42:00,1.6
17/06/2019,03:08:00,1.0
17/06/2019,09:10:00,2.5
17/06/2019,16:56:00,0.2
17/06/2019,23:28:00,1.6
18/06/2019,03:42:00,1.1
18/06/2019,09:45:00,2.6
18/06/2019,17:39:00,0.2
19/06/2019,00:11:00,1.6
19/06/2019,04:16:00,1.1
19/06/2019,10:21:00,2.5
19/06/2019,18:20:00,0.2
20/06/2019,00:53:00,1.5
20/06/2019,04:50:00,1.2
20/06/2019,10:58:00,2.5
20/06/2019,19:00:00,0.3
21/06/2019,01:35:00,1.5
21/06/2019,05:26:00,1.2
21/06/2019,11:35:00,2.4
21/06/2019,19:37:00,0.3
22/06/2019,02:19:00,1.5
22/06/2019,06:05:00,1.3
22/06/2019,12:13:00,2.3
22/06/2019,20:14:00,0.4
23/06/2019,03:09:00,1.5
23/06/2019,06:51:00,1.3
23/06/2019,12:53:00,2.1
23/06/2019,20:51:00,0.5
24/06/2019,04:09:00,1.5
24/06/2019,07:55:00,1.4
24/06/2019,13:39:00,2.0
24/06/2019,21:30:00,0.6
25/06/2019,05:13:00,1.6
25/06/2019,09:26:00,1.4
25/06/2019,14:39:00,1.8
25/06/2019,22:11:00,0.7
26/06/2019,05:58:00,1.7
26/06/2019,10:54:00,1.3
26/06/2019,15:56:00,1.7
26/06/2019,22:54:00,0.8
27/06/2019,06:29:00,1.8
27/06/2019,12:19:00,1.1
27/06/2019,17:18:00,1.5
27/06/2019,23:38:00,0.9
28/06/2019,06:51:00,1.9
28/06/2019,13:25:00,0.9
28/06/2019,18:49:00,1.5
29/06/2019,00:22:00,0.9
29/06/2019,07:12:00,2.1
29/06/2019,14:16:00,0.7
29/06/2019,20:03:00,1.5
30/06/2019,01:05:00,1.0
30/06/2019,07:38:00,2.2
30/06/2019,15:03:00,0.5
30/06/2019,21:06:00,1.5
01/07/2019,01:48:00,1.0
01/07/2019,08:10:00,2.4
01/07/2019,15:49:00,0.3
01/07/2019,22:05:00,1.5
02/07/2019,02:31:00,1.1
02/07/2019,08:47:00,2.6
02/07/2019,16:35:00,0.2
02/07/2019,22:59:00,1.6
03/07/2019,03:14:00,1.1
03/07/2019,09:28:00,2.7
03/07/2019,17:21:00,0.1
03/07/2019,23:50:00,1.6
04/07/2019,03:59:00,1.1
04/07/2019,10:11:00,2.7
04/07/2019,18:08:00,0.0
05/07/2019,00:38:00,1.6
05/07/2019,04:46:00,1.1
05/07/2019,10:58:00,2.7
05/07/2019,18:54:00,0.0
06/07/2019,01:25:00,1.6
06/07/2019,05:35:00,1.1
06/07/2019,11:48:00,2.6
06/07/2019,19:40:00,0.1
07/07/2019,02:14:00,1.6
07/07/2019,06:29:00,1.1
07/07/2019,12:41:00,2.5
07/07/2019,20:26:00,0.2
08/07/2019,03:04:00,1.7
08/07/2019,07:33:00,1.2
08/07/2019,13:43:00,2.2
08/07/2019,21:13:00,0.4
09/07/2019,03:57:00,1.7
09/07/2019,09:00:00,1.2
09/07/2019,15:02:00,2.0
09/07/2019,22:01:00,0.6
10/07/2019,04:51:00,1.8
10/07/2019,10:29:00,1.1
10/07/2019,16:33:00,1.8
10/07/2019,22:51:00,0.7
11/07/2019,05:41:00,2.0
11/07/2019,11:54:00,1.0
11/07/2019,18:08:00,1.6
11/07/2019,23:41:00,0.9
12/07/2019,06:24:00,2.1
12/07/2019,13:17:00,0.8
12/07/2019,19:43:00,1.5
13/07/2019,00:30:00,1.0
13/07/2019,07:00:00,2.2
13/07/2019,14:25:00,0.6
13/07/2019,21:05:00,1.5
14/07/2019,01:17:00,1.1
14/07/2019,07:35:00,2.3
14/07/2019,15:20:00,0.4
14/07/2019,22:00:00,1.5
15/07/2019,02:00:00,1.1
15/07/2019,08:11:00,2.4
15/07/2019,16:06:00,0.3
15/07/2019,22:42:00,1.5
16/07/2019,02:41:00,1.2
16/07/2019,08:49:00,2.5
16/07/2019,16:48:00,0.3
16/07/2019,23:18:00,1.5
17/07/2019,03:20:00,1.2
17/07/2019,09:27:00,2.5
17/07/2019,17:27:00,0.2
17/07/2019,23:53:00,1.5
18/07/2019,03:58:00,1.1
18/07/2019,10:05:00,2.5
18/07/2019,18:03:00,0.3
19/07/2019,00:27:00,1.6
19/07/2019,04:36:00,1.1
19/07/2019,10:42:00,2.5
19/07/2019,18:35:00,0.3
20/07/2019,00:59:00,1.6
20/07/2019,05:15:00,1.1
20/07/2019,11:19:00,2.4
20/07/2019,19:05:00,0.4
21/07/2019,01:31:00,1.6
21/07/2019,05:56:00,1.2
21/07/2019,11:56:00,2.3
21/07/2019,19:32:00,0.5
22/07/2019,02:02:00,1.6
22/07/2019,06:41:00,1.2
22/07/2019,12:34:00,2.2
22/07/2019,20:00:00,0.6
23/07/2019,02:36:00,1.6
23/07/2019,07:36:00,1.2
23/07/2019,13:16:00,2.0
23/07/2019,20:30:00,0.7
24/07/2019,03:14:00,1.7
24/07/2019,08:46:00,1.2
24/07/2019,14:06:00,1.8
24/07/2019,21:04:00,0.8
25/07/2019,03:57:00,1.7
25/07/2019,10:04:00,1.2
25/07/2019,15:19:00,1.6
25/07/2019,21:42:00,0.9
26/07/2019,04:42:00,1.8
26/07/2019,11:26:00,1.1
26/07/2019,16:49:00,1.5
26/07/2019,22:26:00,1.0
27/07/2019,05:27:00,2.0
27/07/2019,12:50:00,0.9
27/07/2019,18:41:00,1.4
27/07/2019,23:17:00,1.1
28/07/2019,06:11:00,2.1
28/07/2019,13:53:00,0.7
28/07/2019,20:09:00,1.4
29/07/2019,00:14:00,1.2
29/07/2019,06:55:00,2.3
29/07/2019,14:46:00,0.4
29/07/2019,21:13:00,1.5
30/07/2019,01:12:00,1.2
30/07/2019,07:40:00,2.5
30/07/2019,15:34:00,0.3
30/07/2019,22:05:00,1.6
31/07/2019,02:08:00,1.2
31/07/2019,08:27:00,2.6
31/07/2019,16:21:00,0.1
31/07/2019,22:50:00,1.6
01/08/2019,03:01:00,1.1
01/08/2019,09:16:00,2.7
01/08/2019,17:06:00,0.0
01/08/2019,23:31:00,1.7
02/08/2019,03:52:00,1.1
02/08/2019,10:05:00,2.8
02/08/2019,17:50:00,0.0
03/08/2019,00:12:00,1.7
03/08/2019,04:42:00,1.0
